编号,类型,标题,来源(模拟),年份,主题标签,摘要(模拟),相关性
LIT-001,期刊综述,水性聚氨酯合成革技术进展,合成革工业(模拟),2023,水性化,综述水性聚氨酯在合成革面层/粘接层的应用现状，指出高固含、耐水解、肤感是三大技术方向。,高
LIT-002,期刊综述,聚碳酸酯型聚氨酯耐水解机理研究进展,聚氨酯工业(模拟),2022,耐水解,从软段化学结构角度比较聚酯/聚醚/聚碳酸酯体系的水解稳定性，PCDL体系在湿热老化后强度保持率最优。,高
LIT-003,期刊论文,碳化二亚胺类抗水解剂对聚酯型聚氨酯的改性研究,高分子材料(模拟),2021,耐水解,添加1.0%聚碳化二亚胺可使聚酯型PU在70℃×95%RH下4周强度保持率提升约8个百分点。,高
LIT-004,期刊论文,NCO/OH摩尔比对湿法聚氨酯树脂成膜性能的影响,合成革技术(模拟),2020,配方设计,R值每提高0.02，100%模量约上升0.8-1.2MPa，断裂伸长率下降约40-60个百分点。,中
LIT-005,期刊论文,生物基多元醇在合成革用聚氨酯中的应用探索,绿色化工(模拟),2024,生物基,生物基含量30%以下时对综合性能影响可控，超过50%需复配耐水解组分。,低
LIT-006,专利,一种高耐水解汽车革用聚氨酯树脂及其制备方法,CN模拟专利,2023,耐水解,以PCDL-2000为软段、MDI为硬段，复配碳化二亚胺，70℃×95%RH×6周保持率≥75%。,高
LIT-007,专利,一种高固含量水性聚氨酯乳液的制备方法,CN模拟专利,2022,水性化,预聚体混合法+分段加水实现固含≥42%，粒径100-150nm，储存稳定性6个月以上。,高
LIT-008,专利,一种无溶剂双组分聚氨酯贴合树脂及其应用,CN模拟专利,2021,无溶剂,A/B组分质量比100:60-80，25℃可操作时间25-40min，贴合剥离强度≥30N/3cm。,中
LIT-009,专利,一种低DMF残留的湿法合成革制备工艺,CN模拟专利,2023,环保,通过梯度凝固浴+高温水洗，成品革DMF残留≤300ppm。,中
LIT-010,专利,耐黄变热塑性聚氨酯弹性体及其制备方法,CN模拟专利,2022,耐黄变,H12MDI/PCDL体系TPU，QUV 72h ΔE≤1.5，适用于户外薄膜。,中
LIT-011,会议报告,合成革行业VOCs治理与水性化替代路线,行业年会报告(模拟),2024,环保,对比水性/无溶剂/高固含三条VOCs减排路线的成本与性能折中。,低
LIT-012,会议报告,汽车内饰革用聚氨酯树脂技术趋势,汽车材料论坛(模拟),2025,汽车革,耐水解6-8周、低气味、低雾化成为主机厂准入门槛。,中
LIT-013,书籍章节,聚氨酯弹性体配方设计原理(节选),高校教材(模拟),2019,配方设计,硬段含量与微相分离决定模量-伸长率平衡；软段化学结构决定耐介质性。,中
LIT-014,网页资料,欧盟REACH法规DMFa限制解读,合规资讯(模拟),2023,法规,附录17第76条：2023年12月12日起DMFa浓度≥0.3%的物质及混合物不得投放欧盟市场。,中
LIT-015,网页资料,ZDHC MRSL V3.1对合成革行业的影响,行业资讯(模拟),2024,法规,品牌客户将DMFa残留限值收紧至500ppm以下成为普遍趋势。,高
LIT-016,期刊论文,湿法凝固过程中DMF扩散行为与泡孔结构的关系,膜科学技术(模拟),2020,工艺,凝固浴浓度每升高5%，凝聚速度下降约15%，泡孔趋于细密。,高
LIT-017,期刊论文,PTMEG与PPG软段对聚氨酯低温性能影响的对比,弹性体(模拟),2021,低温性能,PTMEG体系玻璃化温度更低，-20℃耐折次数较PPG体系提高约40%。,高
LIT-018,期刊论文,脂族异氰酸酯聚氨酯耐黄变性能研究,涂料工业(模拟),2020,耐黄变,IPDI/HDI/H12MDI体系QUV老化性能显著优于芳族体系，ΔE可控制在2以内。,高
LIT-019,期刊论文,合成革用聚氨酯树脂粘度异常的原因分析,化工生产与技术(模拟),2022,质量,水分超标、R值偏差、扩链温度失控是粘度异常的三大主因，占比约80%。,中
LIT-020,期刊论文,聚氨酯微相分离结构与耐磨性能的关系,摩擦学材料(模拟),2021,耐磨,硬段微区完善程度越高，马丁代尔耐磨次数越高。,低
