需求编号,客户名称(虚构),客户类型,应用领域,关键性能要求,剥离要求(N/3cm),耐水解要求(周),耐磨要求(马丁代尔次),环保/认证要求,目标价格(元/kg),预计月用量(吨),收到日期,状态,转化产品编号,对接项目编号
RQ-2026-001,泉州嘉禾合成革有限公司,汽车内饰件厂,运动鞋面革,剥离强度≥35N/3cm；耐水解≥5周(70℃×95%RH强度保持率≥70%)；马丁代尔耐磨≥24783次；-20℃耐折≥5万次,35,5,24783,低DMF、ZDHC MRSL合规；ZDHC MRSL,24.4,120,2024-11-01,已转化,HD-W110,
RQ-2025-002,丽水森源新材料有限公司,汽车内饰件厂,电子包装革,剥离强度≥27N/3cm；耐水解≥4周(70℃×95%RH强度保持率≥70%)；马丁代尔耐磨≥9504次；-10℃耐折≥3万次,27,4,9504,耐折痕；无特殊要求,22.5,50,2026-06-23,送样中,HD-G208,
RQ-2026-003,嘉兴华宇合成革有限公司,合成革厂,鞋底,耐水解≥4周(70℃×95%RH强度保持率≥70%)；-20℃耐折≥8万次,,4,,耐磨DIN≤70mm³；bluesign(可选),28.4,30,2025-10-29,已转化,HD-T503,
RQ-2026-004,成都鑫隆超纤材料有限公司,贸易商,服装革,剥离强度≥22N/3cm；耐水解≥3周(70℃×95%RH强度保持率≥70%)；马丁代尔耐磨≥6536次；-10℃耐折≥3万次,22,3,6536,高透湿、手感柔软、水性化；GRS(回收),20.0,120,2026-03-20,已转化,HD-W112,
RQ-2025-005,海宁天成超纤材料有限公司,薄膜/制品厂,服装革,剥离强度≥20N/3cm；耐水解≥3周(70℃×95%RH强度保持率≥70%)；马丁代尔耐磨≥6865次；-10℃耐折≥3万次,20,3,6865,水性化；无特殊要求,14.6,50,2026-08-05,评估中,,
RQ-2024-006,东莞嘉禾超纤材料有限公司,汽车内饰件厂,汽车内饰革,剥离强度≥31N/3cm；耐水解≥6周(70℃×95%RH强度保持率≥70%)；马丁代尔耐磨≥32471次；-30℃耐折≥5万次,31,6,32471,雾化达标；OEKO-TEX Standard 100,44.0,200,2025-10-19,已转化,HD-S303,
RQ-2025-007,嘉兴永盛革业有限公司,超纤革厂,球革,剥离强度≥34N/3cm；耐水解≥5周(70℃×95%RH强度保持率≥70%)；马丁代尔耐磨≥19747次；-20℃耐折≥5万次,34,5,19747,高回弹；REACH SVHC,17.0,50,2024-11-07,送样中,HD-W111,
RQ-2025-008,嘉兴鑫隆新材料有限公司,薄膜/制品厂,服装革,剥离强度≥20N/3cm；耐水解≥4周(70℃×95%RH强度保持率≥70%)；马丁代尔耐磨≥8191次；-10℃耐折≥3万次,20,4,8191,高透湿、手感柔软；主机厂认可(汽车),16.4,80,2026-03-03,已转化,HD-S302,RD-2024-001
RQ-2026-009,海宁天成合成革有限公司,薄膜/制品厂,密封件,耐水解≥4周(70℃×95%RH强度保持率≥70%)；耐低温,,4,,耐油；REACH SVHC,26.0,120,2025-07-07,送样中,HD-T504,
RQ-2025-010,丽水森源合成革有限公司,薄膜/制品厂,鞋底,耐水解≥3周(70℃×95%RH强度保持率≥70%)；-20℃耐折≥8万次,,3,,耐磨DIN≤70mm³；OEKO-TEX Standard 100,27.1,10,2025-03-17,已转化,HD-T503,RD-2026-004
