案例编号,发生日期,类型,涉及产品,涉及批次,客户(虚构),问题现象,严重度,根因类别(人机料法环测),根因描述,临时/纠正措施,根本/预防措施,验证结果,关闭状态,损失金额(元)
CA-2024-001,2024-10-17,过程异常,HD-W102,HD-W102-2410-06,,成品粘度超出工艺卡上限,轻微,料,多元醇/溶剂含水超标，额外消耗NCO导致实际R值升高、扩链过度,该批降等处理；加测同批原料水分,原料入厂水分检验加严至≤0.03%；溶剂储罐增加氮封,措施有效，同类问题3个月未再发生,已关闭,4272
CA-2024-002,2024-09-21,过程异常,HD-W109,HD-W109-2409-12,,批次间100%模量波动达±15%,一般,料,两供应商多元醇羟值偏差(56 vs 53 mgKOH/g)未折算投料,按实测羟值折算该批投料,建立羟值-投料量折算表；每供应商每批必检羟值,措施有效，同类问题3个月未再发生,已关闭,10457
CA-2026-003,2026-05-19,客诉,HD-G202,HD-G202-2605-02,丽水森源新材料有限公司,无溶剂贴合树脂可操作时间过短,一般,环,夏季车间温度32℃，催化剂用量未按温度折算,提供夏季配方(催化剂减半),TDS增加温度-催化剂用量对照表,措施有效，同类问题3个月未再发生,已关闭,10922
CA-2025-004,2025-11-12,客诉,HD-T505,HD-T505-2511-09,晋江森源合成革有限公司,服装革手感偏硬、悬垂性差,轻微,料,误用高模量批次(模量上限边缘)，叠加客户减量涂布,调换低模量批次,出厂模量控制由±0.8收窄至±0.5；增加手感评分出厂项目,跟踪中,措施实施中,7885
CA-2025-005,2025-01-17,研发失败,HD-W111,HD-W111-2501-06,,高固含水性树脂(45%)连续3批凝胶,一般,法,固含过高导致相反转区间变窄，乳化失败,固含回落至40%恢复稳定,固含≥42%需采用预聚体混合法+分段加水，列入DOE再验证,措施有效，同类问题3个月未再发生,已关闭,32495
CA-2024-006,2024-11-23,过程异常,HD-T502,HD-T502-2411-12,,水性树脂乳化后粒径粗、有絮状物,一般,法,乳化水温过低(12℃)且转速不足，相反转不完全,该批过滤后降级,乳化水温控制25-35℃；转速≥1500rpm；增加粒径中控,跟踪中,验证中,31569
CA-2025-007,2025-02-20,过程异常,HD-G210,HD-G210-2502-04,,成品色值APHA由30升至80,轻微,环,高温季节釜顶氮封压力不足，氧化发色,该批用于深色革,氮封压力报警值上调；高温季增加色值中控频次,跟踪中,验证中,3808
CA-2025-008,2025-06-13,客诉,HD-W104,HD-W104-2506-12,桐乡嘉禾合成革有限公司,无溶剂贴合树脂可操作时间过短,轻微,环,夏季车间温度32℃，催化剂用量未按温度折算,提供夏季配方(催化剂减半),TDS增加温度-催化剂用量对照表,跟踪中,措施实施中,4098
CA-2025-009,2025-04-04,研发失败,HD-T502,HD-T502-2504-03,,生物基多元醇替代50%后耐水解骤降,一般,料,生物基聚酯多元醇酯键密度高且含残余催化酸,替代比例降至30%,生物基路线限定≤30%并复配PCDL；中和残余酸值,跟踪中,措施实施中,27741
CA-2024-010,2024-09-03,过程异常,HD-W105,HD-W105-2409-11,,水性树脂乳化后粒径粗、有絮状物,一般,法,乳化水温过低(12℃)且转速不足，相反转不完全,该批过滤后降级,乳化水温控制25-35℃；转速≥1500rpm；增加粒径中控,措施有效，同类问题3个月未再发生,已关闭,8806
CA-2025-011,2025-02-09,客诉,HD-W112,HD-W112-2502-06,嘉兴天成新材料有限公司,无溶剂贴合树脂可操作时间过短,严重,环,夏季车间温度32℃，催化剂用量未按温度折算,提供夏季配方(催化剂减半),TDS增加温度-催化剂用量对照表,跟踪中,措施实施中,159916
CA-2024-012,2024-11-06,客诉,HD-N404,HD-N404-2411-04,东莞恒丰超纤材料有限公司,汽车革耐水解抽检4周保持率仅58%,轻微,料,该批使用PBA体系且抗水解剂漏加,召回同批产品，换PCDL体系树脂,汽车革订单强制PCDL+抗水解剂1.0%；投料扫码防错,跟踪中,措施实施中,5621
CA-2024-013,2024-12-18,研发失败,HD-W101,HD-W101-2412-06,,生物基多元醇替代50%后耐水解骤降,一般,料,生物基聚酯多元醇酯键密度高且含残余催化酸,替代比例降至30%,生物基路线限定≤30%并复配PCDL；中和残余酸值,措施有效，同类问题3个月未再发生,已关闭,24453
CA-2024-014,2024-12-18,过程异常,HD-S308,HD-S308-2412-11,,收率连续一周低于97%,一般,机,反应釜底阀内漏，放料残留增多,停机更换底阀,底阀列入月度点检；收率纳入班组KPI,跟踪中,验证中,23269
CA-2026-015,2026-02-16,客诉,HD-W103,HD-W103-2602-04,成都鑫隆超纤材料有限公司,服装革手感偏硬、悬垂性差,一般,料,误用高模量批次(模量上限边缘)，叠加客户减量涂布,调换低模量批次,出厂模量控制由±0.8收窄至±0.5；增加手感评分出厂项目,跟踪中,验证中,23161
