项目编号,项目名称,项目类别,负责人,立项日期,计划完成日期,状态,预算(万元),目标指标,关联产品编号,关联实验查询方式,成果摘要
RD-2024-001,高耐水解汽车革用湿法树脂开发,新产品,郭燕,2024-02-26,2025-02-23,已结题,215,完成小试-中试-量产三级放大，关键指标达到客户协议标准,HD-W108,在 experiments.csv 中按目标产品=HD-W108 筛选,指标全部达成，已转量产；详见实验记录与批次记录
RD-2024-002,水性汽车革面层树脂中试放大,新产品,周涛,2024-03-16,2025-08-22,已结题,241,完成小试-中试-量产三级放大，关键指标达到客户协议标准,HD-S303,在 experiments.csv 中按目标产品=HD-S303 筛选,完成中试放大，客户试用通过，已锁定工艺窗口
RD-2024-003,低DMF湿法树脂工艺优化,改进,王芳,2024-03-20,2025-07-02,已结题,95,关键性能提升一档(如耐水解+1周)，批次合格率≥98%,HD-W109,在 experiments.csv 中按目标产品=HD-W109 筛选,完成中试放大，客户试用通过，已锁定工艺窗口
RD-2024-004,无溶剂贴合树脂降本,降本,陈立,2024-03-27,2025-06-06,已结题,87,单位成本下降≥5%，性能不降,HD-N401,在 experiments.csv 中按目标产品=HD-N401 筛选,主要指标达成，耐水解余量不足，转入下一年度改进项目
RD-2024-005,高剥离运动鞋革湿法树脂开发,客户定制,吴静,2024-03-07,2025-08-24,已结题,148,满足客户协议指标并通过批量试用,HD-W110,在 experiments.csv 中按目标产品=HD-W110 筛选,指标全部达成，已转量产；详见实验记录与批次记录
RD-2024-006,生物基多元醇替代研究,基础研究,朱军,2024-03-09,2025-09-03,已结题,198,形成机理研究报告与可复用的设计规则,HD-W112,在 experiments.csv 中按目标产品=HD-W112 筛选,完成中试放大，客户试用通过，已锁定工艺窗口
RD-2024-007,TPU高硬牌号60D开发,新产品,孙丽,2024-01-23,2024-11-07,已结题,178,完成小试-中试-量产三级放大，关键指标达到客户协议标准,HD-T505,在 experiments.csv 中按目标产品=HD-T505 筛选,主要指标达成，耐水解余量不足，转入下一年度改进项目
RD-2024-008,干法肤感面层树脂开发,新产品,郑凯,2024-01-20,2025-06-25,已结题,209,完成小试-中试-量产三级放大，关键指标达到客户协议标准,HD-G210,在 experiments.csv 中按目标产品=HD-G210 筛选,指标全部达成，已转量产；详见实验记录与批次记录
RD-2024-009,汽车革耐水解6周攻关,改进,赵敏,2024-01-14,2025-03-11,已结题,70,关键性能提升一档(如耐水解+1周)，批次合格率≥98%,HD-W107,在 experiments.csv 中按目标产品=HD-W107 筛选,指标全部达成，已转量产；详见实验记录与批次记录
RD-2024-010,溶剂回收率提升专项,降本,郭燕,2024-03-17,2025-01-21,已结题,81,单位成本下降≥5%，性能不降,HD-W103,在 experiments.csv 中按目标产品=HD-W103 筛选,指标全部达成，已转量产；详见实验记录与批次记录
RD-2025-001,水性高固含(≥40%)鞋革树脂开发,新产品,周涛,2025-03-27,2026-09-05,在研,326,完成小试-中试-量产三级放大，关键指标达到客户协议标准,HD-S305,在 experiments.csv 中按目标产品=HD-S305 筛选,
RD-2025-002,耐黄变TPU产业化,新产品,赵敏,2025-01-07,2025-09-11,已结题,272,完成小试-中试-量产三级放大，关键指标达到客户协议标准,HD-T506,在 experiments.csv 中按目标产品=HD-T506 筛选,指标全部达成，已转量产；详见实验记录与批次记录
RD-2025-003,湿法球革高回弹树脂开发,客户定制,周涛,2025-03-15,2026-01-20,在研,163,满足客户协议指标并通过批量试用,HD-W111,在 experiments.csv 中按目标产品=HD-W111 筛选,
RD-2025-004,水性肤感树脂开发,新产品,何斌,2025-03-17,2025-12-02,已结题,304,完成小试-中试-量产三级放大，关键指标达到客户协议标准,HD-S306,在 experiments.csv 中按目标产品=HD-S306 筛选,主要指标达成，耐水解余量不足，转入下一年度改进项目
RD-2025-005,凝聚速度调控技术研究,基础研究,朱军,2025-02-22,2025-11-09,已结题,164,形成机理研究报告与可复用的设计规则,HD-W102,在 experiments.csv 中按目标产品=HD-W102 筛选,指标全部达成，已转量产；详见实验记录与批次记录
RD-2025-006,耐水解助剂体系筛选,基础研究,陈立,2025-02-14,2026-01-01,在研,129,形成机理研究报告与可复用的设计规则,HD-W107,在 experiments.csv 中按目标产品=HD-W107 筛选,
RD-2025-007,无溶剂快速固化体系开发,新产品,林霞,2025-02-01,2026-03-16,已结题,207,完成小试-中试-量产三级放大，关键指标达到客户协议标准,HD-N404,在 experiments.csv 中按目标产品=HD-N404 筛选,完成中试放大，客户试用通过，已锁定工艺窗口
RD-2025-008,干法汽车革耐水解面层树脂开发,新产品,何斌,2025-01-01,2025-09-23,已结题,217,完成小试-中试-量产三级放大，关键指标达到客户协议标准,HD-G207,在 experiments.csv 中按目标产品=HD-G207 筛选,完成中试放大，客户试用通过，已锁定工艺窗口
RD-2025-009,干法高透湿服装革树脂开发,客户定制,郭燕,2025-02-21,2026-07-21,在研,84,满足客户协议指标并通过批量试用,HD-G209,在 experiments.csv 中按目标产品=HD-G209 筛选,
RD-2025-010,水性印花层树脂开发,新产品,孙丽,2025-03-04,2026-08-07,在研,220,完成小试-中试-量产三级放大，关键指标达到客户协议标准,HD-S307,在 experiments.csv 中按目标产品=HD-S307 筛选,
RD-2026-001,汽车革低气味配方改进,改进,郭燕,2026-02-06,2027-02-07,在研,121,关键性能提升一档(如耐水解+1周)，批次合格率≥98%,HD-S303,在 experiments.csv 中按目标产品=HD-S303 筛选,
RD-2026-002,生物基含量≥30%服装革树脂研究,基础研究,赵敏,2026-01-08,2027-05-03,在研,206,形成机理研究报告与可复用的设计规则,HD-W112,在 experiments.csv 中按目标产品=HD-W112 筛选,
RD-2026-003,水性高透湿服装革树脂开发,客户定制,赵敏,2026-01-09,2026-09-18,在研,159,满足客户协议指标并通过批量试用,HD-S308,在 experiments.csv 中按目标产品=HD-S308 筛选,
RD-2026-004,AI辅助配方设计平台建设,基础研究,郑凯,2026-03-28,2027-02-07,在研,218,形成机理研究报告与可复用的设计规则,,—,
