产品编号,工序步骤,参数名称,标准值,上限,下限,单位,控制级别,监控方式
HD-W101,1.多元醇脱水,脱水温度,110,118,100,℃,关键,DCS连续记录
HD-W101,1.多元醇脱水,真空度,-0.095,-0.09,-0.098,MPa,关键,真空表
HD-W101,1.多元醇脱水,水分(出料),≤0.05,0.05,,%,关键,卡尔费休每批检测
HD-W101,2.预聚,预聚温度,78,82,74,℃,关键,DCS连续记录
HD-W101,2.预聚,预聚时间,2.5,3.0,2.0,h,重要,DCS
HD-W101,2.预聚,中控NCO%,理论值±0.3,,,%,关键,滴定法每批
HD-W101,3.扩链,扩链温度,65,72,55,℃,重要,DCS
HD-W101,3.扩链,扩链剂滴加时间,30,45,20,min,一般,DCS
HD-W101,4.稀释,稀释温度,≤50,50,,℃,重要,DCS
HD-W101,4.稀释,搅拌转速,80,100,60,rpm,一般,变频器
HD-W101,5.终点控制,成品粘度,142150,156365,127935,mPa·s,关键,在线粘度计+化验
HD-W101,5.终点控制,固含量,31.2,32.2,30.2,%,关键,化验每批
HD-W102,1.多元醇脱水,脱水温度,110,118,100,℃,关键,DCS连续记录
HD-W102,1.多元醇脱水,真空度,-0.095,-0.09,-0.098,MPa,关键,真空表
HD-W102,1.多元醇脱水,水分(出料),≤0.05,0.05,,%,关键,卡尔费休每批检测
HD-W102,2.预聚,预聚温度,78,82,74,℃,关键,DCS连续记录
HD-W102,2.预聚,预聚时间,2.5,3.0,2.0,h,重要,DCS
HD-W102,2.预聚,中控NCO%,理论值±0.3,,,%,关键,滴定法每批
HD-W102,3.扩链,扩链温度,65,72,55,℃,重要,DCS
HD-W102,3.扩链,扩链剂滴加时间,30,45,20,min,一般,DCS
HD-W102,4.稀释,稀释温度,≤50,50,,℃,重要,DCS
HD-W102,4.稀释,搅拌转速,80,100,60,rpm,一般,变频器
HD-W102,5.终点控制,成品粘度,132353,145588,119117,mPa·s,关键,在线粘度计+化验
HD-W102,5.终点控制,固含量,33.7,34.7,32.7,%,关键,化验每批
HD-W103,1.多元醇脱水,脱水温度,110,118,100,℃,关键,DCS连续记录
HD-W103,1.多元醇脱水,真空度,-0.095,-0.09,-0.098,MPa,关键,真空表
HD-W103,1.多元醇脱水,水分(出料),≤0.05,0.05,,%,关键,卡尔费休每批检测
HD-W103,2.预聚,预聚温度,78,82,74,℃,关键,DCS连续记录
HD-W103,2.预聚,预聚时间,2.5,3.0,2.0,h,重要,DCS
HD-W103,2.预聚,中控NCO%,理论值±0.3,,,%,关键,滴定法每批
HD-W103,3.扩链,扩链温度,65,72,55,℃,重要,DCS
HD-W103,3.扩链,扩链剂滴加时间,30,45,20,min,一般,DCS
HD-W103,4.稀释,稀释温度,≤50,50,,℃,重要,DCS
HD-W103,4.稀释,搅拌转速,80,100,60,rpm,一般,变频器
HD-W103,5.终点控制,成品粘度,125958,138553,113362,mPa·s,关键,在线粘度计+化验
HD-W103,5.终点控制,固含量,32.9,33.9,31.9,%,关键,化验每批
HD-W104,1.多元醇脱水,脱水温度,110,118,100,℃,关键,DCS连续记录
HD-W104,1.多元醇脱水,真空度,-0.095,-0.09,-0.098,MPa,关键,真空表
HD-W104,1.多元醇脱水,水分(出料),≤0.05,0.05,,%,关键,卡尔费休每批检测
HD-W104,2.预聚,预聚温度,78,82,74,℃,关键,DCS连续记录
HD-W104,2.预聚,预聚时间,2.5,3.0,2.0,h,重要,DCS
HD-W104,2.预聚,中控NCO%,理论值±0.3,,,%,关键,滴定法每批
HD-W104,3.扩链,扩链温度,65,72,55,℃,重要,DCS
HD-W104,3.扩链,扩链剂滴加时间,30,45,20,min,一般,DCS
HD-W104,4.稀释,稀释温度,≤50,50,,℃,重要,DCS
HD-W104,4.稀释,搅拌转速,80,100,60,rpm,一般,变频器
HD-W104,5.终点控制,成品粘度,122902,135192,110611,mPa·s,关键,在线粘度计+化验
HD-W104,5.终点控制,固含量,34.1,35.1,33.1,%,关键,化验每批
HD-W105,1.多元醇脱水,脱水温度,110,118,100,℃,关键,DCS连续记录
HD-W105,1.多元醇脱水,真空度,-0.095,-0.09,-0.098,MPa,关键,真空表
HD-W105,1.多元醇脱水,水分(出料),≤0.05,0.05,,%,关键,卡尔费休每批检测
HD-W105,2.预聚,预聚温度,78,82,74,℃,关键,DCS连续记录
HD-W105,2.预聚,预聚时间,2.5,3.0,2.0,h,重要,DCS
HD-W105,2.预聚,中控NCO%,理论值±0.3,,,%,关键,滴定法每批
HD-W105,3.扩链,扩链温度,65,72,55,℃,重要,DCS
HD-W105,3.扩链,扩链剂滴加时间,30,45,20,min,一般,DCS
HD-W105,4.稀释,稀释温度,≤50,50,,℃,重要,DCS
HD-W105,4.稀释,搅拌转速,80,100,60,rpm,一般,变频器
HD-W105,5.终点控制,成品粘度,110491,121540,99441,mPa·s,关键,在线粘度计+化验
HD-W105,5.终点控制,固含量,34.3,35.3,33.3,%,关键,化验每批
HD-W106,1.多元醇脱水,脱水温度,110,118,100,℃,关键,DCS连续记录
HD-W106,1.多元醇脱水,真空度,-0.095,-0.09,-0.098,MPa,关键,真空表
HD-W106,1.多元醇脱水,水分(出料),≤0.05,0.05,,%,关键,卡尔费休每批检测
HD-W106,2.预聚,预聚温度,78,82,74,℃,关键,DCS连续记录
HD-W106,2.预聚,预聚时间,2.5,3.0,2.0,h,重要,DCS
HD-W106,2.预聚,中控NCO%,理论值±0.3,,,%,关键,滴定法每批
HD-W106,3.扩链,扩链温度,65,72,55,℃,重要,DCS
HD-W106,3.扩链,扩链剂滴加时间,30,45,20,min,一般,DCS
HD-W106,4.稀释,稀释温度,≤50,50,,℃,重要,DCS
HD-W106,4.稀释,搅拌转速,80,100,60,rpm,一般,变频器
HD-W106,5.终点控制,成品粘度,116498,128147,104848,mPa·s,关键,在线粘度计+化验
HD-W106,5.终点控制,固含量,30.2,31.2,29.2,%,关键,化验每批
HD-W107,1.多元醇脱水,脱水温度,110,118,100,℃,关键,DCS连续记录
HD-W107,1.多元醇脱水,真空度,-0.095,-0.09,-0.098,MPa,关键,真空表
HD-W107,1.多元醇脱水,水分(出料),≤0.05,0.05,,%,关键,卡尔费休每批检测
HD-W107,2.预聚,预聚温度,78,82,74,℃,关键,DCS连续记录
HD-W107,2.预聚,预聚时间,2.5,3.0,2.0,h,重要,DCS
HD-W107,2.预聚,中控NCO%,理论值±0.3,,,%,关键,滴定法每批
HD-W107,3.扩链,扩链温度,65,72,55,℃,重要,DCS
HD-W107,3.扩链,扩链剂滴加时间,30,45,20,min,一般,DCS
HD-W107,4.稀释,稀释温度,≤50,50,,℃,重要,DCS
HD-W107,4.稀释,搅拌转速,80,100,60,rpm,一般,变频器
HD-W107,5.终点控制,成品粘度,131174,144291,118056,mPa·s,关键,在线粘度计+化验
HD-W107,5.终点控制,固含量,32.5,33.5,31.5,%,关键,化验每批
HD-W108,1.多元醇脱水,脱水温度,110,118,100,℃,关键,DCS连续记录
HD-W108,1.多元醇脱水,真空度,-0.095,-0.09,-0.098,MPa,关键,真空表
HD-W108,1.多元醇脱水,水分(出料),≤0.05,0.05,,%,关键,卡尔费休每批检测
HD-W108,2.预聚,预聚温度,78,82,74,℃,关键,DCS连续记录
HD-W108,2.预聚,预聚时间,2.5,3.0,2.0,h,重要,DCS
HD-W108,2.预聚,中控NCO%,理论值±0.3,,,%,关键,滴定法每批
HD-W108,3.扩链,扩链温度,65,72,55,℃,重要,DCS
HD-W108,3.扩链,扩链剂滴加时间,30,45,20,min,一般,DCS
HD-W108,4.稀释,稀释温度,≤50,50,,℃,重要,DCS
HD-W108,4.稀释,搅拌转速,80,100,60,rpm,一般,变频器
HD-W108,5.终点控制,成品粘度,135215,148736,121693,mPa·s,关键,在线粘度计+化验
HD-W108,5.终点控制,固含量,34.3,35.3,33.3,%,关键,化验每批
HD-W109,1.多元醇脱水,脱水温度,110,118,100,℃,关键,DCS连续记录
HD-W109,1.多元醇脱水,真空度,-0.095,-0.09,-0.098,MPa,关键,真空表
HD-W109,1.多元醇脱水,水分(出料),≤0.05,0.05,,%,关键,卡尔费休每批检测
HD-W109,2.预聚,预聚温度,78,82,74,℃,关键,DCS连续记录
HD-W109,2.预聚,预聚时间,2.5,3.0,2.0,h,重要,DCS
HD-W109,2.预聚,中控NCO%,理论值±0.3,,,%,关键,滴定法每批
HD-W109,3.扩链,扩链温度,65,72,55,℃,重要,DCS
HD-W109,3.扩链,扩链剂滴加时间,30,45,20,min,一般,DCS
HD-W109,4.稀释,稀释温度,≤50,50,,℃,重要,DCS
HD-W109,4.稀释,搅拌转速,80,100,60,rpm,一般,变频器
HD-W109,5.终点控制,成品粘度,130441,143485,117396,mPa·s,关键,在线粘度计+化验
HD-W109,5.终点控制,固含量,34.6,35.6,33.6,%,关键,化验每批
HD-W110,1.多元醇脱水,脱水温度,110,118,100,℃,关键,DCS连续记录
HD-W110,1.多元醇脱水,真空度,-0.095,-0.09,-0.098,MPa,关键,真空表
HD-W110,1.多元醇脱水,水分(出料),≤0.05,0.05,,%,关键,卡尔费休每批检测
HD-W110,2.预聚,预聚温度,78,82,74,℃,关键,DCS连续记录
HD-W110,2.预聚,预聚时间,2.5,3.0,2.0,h,重要,DCS
HD-W110,2.预聚,中控NCO%,理论值±0.3,,,%,关键,滴定法每批
HD-W110,3.扩链,扩链温度,65,72,55,℃,重要,DCS
HD-W110,3.扩链,扩链剂滴加时间,30,45,20,min,一般,DCS
HD-W110,4.稀释,稀释温度,≤50,50,,℃,重要,DCS
HD-W110,4.稀释,搅拌转速,80,100,60,rpm,一般,变频器
HD-W110,5.终点控制,成品粘度,132709,145979,119438,mPa·s,关键,在线粘度计+化验
HD-W110,5.终点控制,固含量,33.8,34.8,32.8,%,关键,化验每批
HD-W111,1.多元醇脱水,脱水温度,110,118,100,℃,关键,DCS连续记录
HD-W111,1.多元醇脱水,真空度,-0.095,-0.09,-0.098,MPa,关键,真空表
